id,trigger,conditions,script,text,options,notes
naderin_ftl_askAboutShip,DialogOptionSelected,"$option == naderin_ftl_askAboutShip","$askedAboutShip = true
SetTextHighlights Apogee
Call $global.naderin_ftl_ref showShip
FireAll naderin_ftl_greetingOpts","$HeOrShe drags out a battered Tri-Pad from the side. With a single swipe, The Luminary appears with little fanfare as you scrutinise the details.

""That's her, captain. The best Apogee I'd ever had."" You hear a sniffle. ""Rare as they are... I'm such a fool to lose her.""

You note that the details appear to also contain projections on the lasting damage it would have suffered after it was lost in battle. Assuming, of course, that it was recovered rather than salvaged for parts.",,"# I WONDER WHY SOME NEED THE .global PREFIX AND OTHERS DON'T????"
naderin_ftl_askAboutPaymentOpt,naderin_ftl_greetingOpts,"$askedAboutPayment == false
$askedWhatHappened == true",,,"naderin_ftl_askAboutPayment:Ask about payment",
naderin_ftl_askAboutPayment,DialogOptionSelected,"$option == naderin_ftl_askAboutPayment","$askedAboutPayment = true
Call $global.naderin_ftl_ref showGiver
FireBest naderin_ftl_reopenMap
FireAll naderin_ftl_greetingOpts
SetTextHighlights ""50,000 credits"" ""The Luminary's final fate"" ""150,000"" ""return her to me""","""50,000 credits if you get me news on The Luminary's final fate in this wretched sector. Or 150,000 if you recover her yourself and return her to me. Not that I have all that much hope...""",,
naderin_ftl_acceptOpt,naderin_ftl_greetingOpts,"$askedWhatHappened == true
$askedForLeads == true
$askedAboutBattle == true
$askedAboutShip == true
$askedAboutPayment == true",,,"naderin_ftl_accept:Accept",
naderin_ftl_accept,DialogOptionSelected,"$option == naderin_ftl_accept",,"""Thank you, captain. I'll spare you no more words... Ludd knows I need another shot. Bartender!""

Just as you begin to up and leave, you suddenly feel something wrong. Warning signs blare inside your head, attuned from countless battles in fleet combat. What's coming? Assassins? A raid? Perhaps-","naderin_ftl_cover:Continue",
naderin_ftl_acceptNotCovered,DialogOptionSelected,"$option == naderin_ftl_cover","BarCMD accept $missionId
Call $global.naderin_ftl_ref playSoundHitHeavy","You stand there blankly, seeing the equivalent of a Reaper missile having blown apart the front of your clothes and transforming you into a walking biohazard. 

$naderin_ftl_personName calls out from the front door just before they slink away into the streets. ""Um. Sorry. We'll be in contact, yeah?"" $HeOrShe flashes a smile before dashing away.

You are, of course, not at all embarrassed when the barkeep politely asks you to leave.","naderin_ftl_postAccept:Continue after a change of clothes",
naderin_ftl_acceptCovered,DialogOptionSelected,"$option == naderin_ftl_cover
$foundCover == true","BarCMD accept $missionId
Call $global.naderin_ftl_ref playSoundHitHeavy","Before you can even react, your bodyguard steps in the way of what sounds like bulkheads crunching in on themselves. There's a moment of pin drop silence before you look and see the unfortunate state of your bodyguard.

It's a testament to the professionalism of your bodyguards, you feel, that they can somehow remain so stoic despite the mess splattered all over their face.

$naderin_ftl_personName calls out from the front door just before they slink away into the streets. ""Um. Sorry about that. We'll be in contact, yeah?"" $HeOrShe flashes a smile before dashing away.","naderin_ftl_postAccept:Continue after sending your bodyguard away for decontamination",
naderin_ftl_postAccept,DialogOptionSelected,"$option == naderin_ftl_postAccept","FireBest ContactPostAccept
BarCMD returnFromEvent false",,,"reason: mission accepted message appears before conversation exits to bar"
naderin_ftl_declineOpt,naderin_ftl_greetingOpts,"$askedWhatHappened == true
$askedForLeads == true
$askedAboutBattle == true
$askedAboutShip == true
$askedAboutPayment == true","SetShortcut naderin_ftl_decline ""ESCAPE""",,"naderin_ftl_decline:Decline, explaining that it's a lost cause",
naderin_ftl_decline,DialogOptionSelected,"$option == naderin_ftl_decline","SetShortcut contact_declineBarNoContinue ""ESCAPE""","""Oh. No, I understand. Thank you for listening, captain. It's the least you could have done for me. And, unfortunately, it's more'n anyone here's done so far!""

They breathe a wheeze of a chuckle as you leave them to their evergrowing pile of used Tri-Tachyon branded tissues. And a polite request for $himOrHer to leave from the proprietor that $heOrShe is pretending to not hear, by the looks of it.","contact_declineBarNoContinue:Look around the bar",
naderin_ftl_reopenMap,naderin_ftl_reopenMap,"$askedForLeads == true","Call $global.naderin_ftl_ref getMapForDebrisPhase ""Location: $naderin_ftl_systemName""",,,"only reopen the map after viewing the ship if we've already seen it"
"#END Bar Intro",,,,,,
,,,,,,
# The Search,,,,,,
naderin_ftl_fdfInteraction,OpenInteractionDialog,"$naderin_ftl_fdf score:1000
$alreadySeen == false","$alreadySeen = true
ShowDefaultVisual
Call $global.naderin_ftl_ref updateData","""Surprising to see this field hasn't drifted off after so long. Normally, these sort of debris fields scatter too wide to be of any use after a month or two."" Your ops chief chimes in from the side, eyes glued to a screen.

A preliminary investigation reveals that the volume of debris here appears less than expected, even after accounting for attempted salvage efforts and the passage of time.","naderin_ftl_fdfInteractionCont:Investigate further","consider using ShowSalvageEntityDetails instead"
naderin_ftl_fdfInteractionCont,DialogOptionSelected,"$option == naderin_ftl_fdfInteractionCont","FireBest naderin_ftl_fdfInteractionIfFirstCond","Judging from complicated guesswork and calculations going far over your head more often than you'd like, the misshapen breach cuts found between chunks of hull appear to have some sort of relation to the heat dissipation of the debris. In other words, the victors likely scavenged the most dense parts of the debris field after having caught their prey. Perhaps, you wonder, in an effort to look for something.","naderin_ftl_fdfInteractionCont2:Continue",
naderin_ftl_fdfInteractionIfFirstCond,naderin_ftl_fdfInteractionIfFirstCond,"$global.naderin_ftl_secondFound == false","FireBest naderin_ftl_fdfInteractionIfFirst",,,
naderin_ftl_fdfInteractionIfFirst,naderin_ftl_fdfInteractionIfFirst,,"SetTextHighlights ""map""
$global.naderin_ftl_calculated = true
Call $naderin_tdd_ref updateData
AddTextSmall ""Target location estimated"" highlight","Fortunately, the other half of your bridge crew appear to have made more useful discoveries.

""The defending fleet must have managed to disengage after some losses on both sides. If what we've been told is true, well, there'll be a second debris field around here in the direction the survey fleet attempted to escape to. If we go through a few heuristics...""

There's some muffled discussion until you hear a ping from your Tri-Pad. ""Check your map when you can, $playerSirOrMadam. Let's see if it worked.""",,
naderin_ftl_fdfInteractionIfFirstElse,naderin_ftl_fdfInteractionIfFirst,"$global.naderin_ftl_searched == true",,"What is clear, however, is that no new information can be gleaned from the wreckage here.",,
naderin_ftl_fdfInteractionCont2,DialogOptionSelected,"$option == naderin_ftl_fdfInteractionCont2","Call $global.naderin_ftl_ref makeUnimportant
ShowDefaultVisual
FireBest OpenInteractionDialog",,,
naderin_ftl_fdfHostileNearby,OpenInteractionDialog,"$naderin_ftl_fdf score:1000
$alreadySeen == false
HostileFleetNearbyAndAware","ShowDefaultVisual
SetShortcut defaultLeave ESCAPE
SetTextHighlights ""The Luminary""","Scans indicate that this debris field is possibly related to The Luminary. However, a nearby hostile fleet is tracking your movements, making further exploration impossible.","100:defaultLeave:Leave",
naderin_ftl_sdfInteraction,OpenInteractionDialog,"$naderin_ftl_sdf score:1000
$alreadySeen == false","ShowDefaultVisual
$global.naderin_ftl_secondFound = true
Call $global.naderin_ftl_ref updateData","A preliminary scan indicates that this is most likely the location where your client's survey team fought and lost a second, decisive engagement against a markedly superior pirate fleet.

""$PlayerSirOrMadam,"" your communications officer reports. ""There's life signs in the wreckage. Orders?""","naderin_ftl_sdfInteractionCont:Search for survivors
defaultLeave:Leave for now",
naderin_ftl_sdfInteractionCont,DialogOptionSelected,"$option == naderin_ftl_sdfInteractionCont","AddCommodity crew 13
$alreadySeen = true","Salvage teams are sent into the wreckage, searching for survivors amidst the slowly drifting sections of metal and debris. Efforts are quick and fruitful as a dozen or so survivors are recovered from nestled cryopods and sealed bulkheads.

They, of course, gratefully join your crew for free. Some recount seeing the pirates play 'games' with the survivors. From captured crewmembers being walked off the airlock, to ship batteries firing wildly at the wreckage, it's a tale that makes you surprised there were any survivors at all.","naderin_ftl_sdfInteractionCont2:Continue",
naderin_ftl_sdfInteractionCont2,DialogOptionSelected,"$option == naderin_ftl_sdfInteractionCont2","$global.naderin_ftl_searched = true
SetTextHighlights $naderin_ftl_supplySystemName $naderin_ftl_supplySystemDist
Call $global.naderin_ftl_ref getMapForSupplyPhase ""Location: $naderin_ftl_supplySystemName""
Call $naderin_tdd_ref updateData","While your crew do all the administrative work of assigning rooms and interviewing survivors, one such survivor reveals that they know where the pirate fleet left to.

""Bastards laughed at us,"" they spit. ""Thought we'd been left for dead, spilled the beans like a villain on the holo-dramas. Can't wait to see their faces when you show up... It's the $naderin_ftl_supplySystemName, captain.""

Your nav officer helpfully pulls up the system on-screen, noting that it is approximately $naderin_ftl_supplySystemDist lightyears away from your $shipOrFleet's current position.

""They've a supply cache snuck away there."" The survivor continues. ""We gave 'em a good fight, so they've run to lick their wounds. Don't let them.""","naderin_ftl_sdfInteractionCont3:Continue",
naderin_ftl_sdfInteractionCont3,DialogOptionSelected,"$option == naderin_ftl_sdfInteractionCont3","Call $global.naderin_ftl_ref makeUnimportant
FireBest OpenInteractionDialog",,,"makeUnimportant unnecessary probably for this specific case: code probably already handles that by limiting importance to the stage"
naderin_ftl_sdfHostileNearby,OpenInteractionDialog,"$naderin_ftl_sdf score:1000
$alreadySeen == false
HostileFleetNearbyAndAware","ShowDefaultVisual
SetTextHighlights ""The Luminary""
SetShortcut defaultLeave ESCAPE","Immediate scans indicate that this debris field almost certainly offers a lead to The Luminary's whereabouts. However, a nearby hostile fleet is tracking your movements, making further exploration impossible.","100:defaultLeave:Leave",
"#END The Search",,,,,,
,,,,,,
# The Complication,,,,,,
naderin_ftl_cacheInteraction,OpenInteractionDialog,"$naderin_ftl_cache score:1000","ShowDefaultVisual
Call $global.naderin_ftl_ref updateData
SetTextHighlights ""The Luminary""
$salvageLeaveText = Leave 0
FireAll PopulateSalvageOptions1","Caches like these have often been used by pirates and independents with a need for a more convenient resupply point in the more distant edges of the sector. By replacing a trip back to the core worlds with a trip to a hidden cache, it's hoped that a savvy captain might be able to operate out in deep space for longer.

Or, in this case, let a pirate fleet hide from the consequences of their actions.

Approaching the cache, active scans identify key markings that make it extremely likely that it contains information related to The Luminary. The only thing that's left to do is to give the go-ahead to your salvors.",,
naderin_ftl_cacheShowSalvageCost,BeginSalvage,"$naderin_ftl_cache score:3000
!$canNotSalvage","SalvageEntity showCost
FireAll naderin_ftl_cacheSalvageOpts",,,
naderin_ftl_cacheSalvageLeave,naderin_ftl_cacheSalvageOpts,,"SetShortcut defaultLeave ESCAPE",,"100:defaultLeave:$salvageLeaveText",
naderin_ftl_cacheSalvageEnabled,naderin_ftl_cacheSalvageOpts,,,,"0:naderin_ftl_cacheSalvage:Begin salvage operations",
naderin_ftl_cacheSalvage,DialogOptionSelected,"$option == naderin_ftl_cacheSalvage","Call $naderin_ftl_ref updateData
FireBest naderin_ftl_cacheObjectiveLocated","It's evident from the micrometeorite impacts scattered across various crates and such that this particular cache has been around for a while. Makeshift nets, screens, and other poorly decorated and ill-advised structures of questionable efficacy appear to have sprung up across cycles of use, built up from the various pirate fleets coming and going since its inception.

It all disappears in short order as your salvors take anything of value and scatter the rest to space.","naderin_ftl_cacheSalvageActual:Review salvage results",
naderin_ftl_cacheSalvageActual,DialogOptionSelected,"$option == naderin_ftl_cacheSalvageActual","$doNotDismissDialogAfterSalvage = true
SalvageEntity checkAccidents
FireBest naderin_ftl_cachePostSalvageEvent",,,
naderin_ftl_cachePostSalvageNothing,naderin_ftl_cachePostSalvageEvent,,"SetTextHighlights ""The Luminary"" ""Kapteyn Starworks""","It's only after salvage is complete that your crew discover that one particular datapad appears to mention The Luminary. It appears that the ship has already been traded to another pirate fleet intent on ""a fun day of science"" at Kapteyn Starworks.

Nothing you don't already know, unfortunately.","0:defaultLeave:Leave",
naderin_ftl_cacheObjectiveLocated,naderin_ftl_cachePostSalvageEvent,"$naderin_ftl_hasLocation == true","SetTextHighlights ""The Luminary"" ""Kapteyn Starworks""
$global.naderin_ftl_located = true
Call $global.naderin_ftl_ref updateStage
$entity.naderin_ftl_hasLocation = false","It's only after salvage is complete that your crew discover that one particular datapad appears to mention The Luminary. It appears that the ship has already been traded to another pirate fleet intent on ""a fun day of science"" at Kapteyn Starworks.","0:defaultLeave:Leave",
naderin_ftl_cacheHostileNearby,OpenInteractionDialog,"$naderin_ftl_cache score:1000
HostileFleetNearbyAndAware","ShowDefaultVisual
SetTextHighlights ""The Luminary""
SetShortcut defaultLeave ESCAPE","Approaching the cache, active scans identify key markings that make it extremely likely that it contains information related to The Luminary. However, a nearby hostile fleet is tracking your movements, making further investigation impossible.","100:defaultLeave:Leave",
naderin_ftl_pirateEncounter,BeginFleetEncounter,"$naderin_ftl_pirates score:3000
!$alreadyMetPlayer
!$trickedByPlayer","FleetDesc
HailPlayer
Call $naderin_tdd_ref updateData",,,
naderin_ftl_pirateCommsHostile,OpenCommLink,"$entity.naderin_ftl_pirates score:3000
!$entity.alreadyMetPlayer","$entity.alreadyMetPlayer = true
$entity.ignorePlayerCommRequests = true 1
$hailing = false 0
FireAll PopulateOptions","The comms line fizzles into being. On your screen, the pirate $personRank seems to stare you down for a moment before shaking their head.

""So, what's this, eh?"" $HeOrShe raises a brow, then laughs. ""I do hope this'll be worth it fer you, cap'n.""",,"idk why this one needs the entity prefix and the other doesn't"
naderin_ftl_pirateOptNegotiateHostile,PopulateOptions,"$entity.naderin_ftl_pirates score:3000
$entity.isHostile
$negotiated == false",,,"naderin_ftl_pirateNegotiateHostile:""Seen any Apogees recently?""",
naderin_ftl_pirateNegotiateHostile,DialogOptionSelected,"$option == naderin_ftl_pirateNegotiateHostile","$negotiated = true
FireAll PopulateOptions","""Like I'd tell you. Even if I had. Which I haven't.""

They blink. ""Who's asking?""",,
naderin_ftl_pirateOptAlreadyKnow,PopulateOptions,"$global.naderin_ftl_located == true
$entity.naderin_ftl_pirates score:3000
$entity.isHostile
$negotiated == true",,,"naderin_ftl_pirateAlreadyKnow:""I already know it's headed for the Starworks.""",
naderin_ftl_pirateAlreadyKnow,DialogOptionSelected,"$option == naderin_ftl_pirateAlreadyKnow","MakeOtherFleetHostile true
MakeOtherFleetAggressive true","""So you've been snooping around, huh? Taking what's not yours? I'll show nitwits like you what happens to someone who crosses the wrong folk!""

Your sensors officer informs you that their fleet appears to be powering up weapons.","cutCommLinkNoText:Cut the comm-link",
naderin_ftl_pirateOptBargainHostile,PopulateOptions,"$entity.naderin_ftl_pirates score:3000
$entity.isHostile
$negotiated == true","SetStoryOption naderin_ftl_pirateBargainHostile 1 naderin_ftl_convinced ui_char_spent_story_point ""Convinced pirates to tell you about The Luminary""",,"naderin_ftl_pirateBargainHostile:Explain why they should tell you","see config/settings.json for location of the xp key naderin_ftl_convinced"
naderin_ftl_pirateBargainHostile,DialogOptionSelected,"$option == naderin_ftl_pirateBargainHostile","MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true
MakeOtherFleetImportant false
$bargained = true
$entity.trickedByPlayer = true","You explain in simple terms that news of The Luminary has reached Kanta's ears and that she desires it for herself. Fabricated documents and rumours made moments ago from your resourceful crew are sent over to the sceptical pirate captain for their perusal.

""They... were on her hit list? For slights committed against her a few... Oh, Ludd's hells, what do you mean her personal-""

Somehow, your made-up lies have worked. Now all that's left to do is...","naderin_ftl_pirateBargainOffer:Offer them a way out of their predicament
naderin_ftl_pirateBargainCondolences:Offer them your condolences",
naderin_ftl_pirateBargainOffer,DialogOptionSelected,"$option == naderin_ftl_pirateBargainOffer","SetTextHighlights ""Kapteyn Starworks""
$global.naderin_ftl_located = true
Call $global.naderin_ftl_ref updateStage","Fortunately, you're here! For a small, small fee of a little information, you'll handle the fallout for them and make sure they remain in Kanta's good graces.

""Well. Um. I don't know why you're so helpful, and I don't care to know. So, two words: Kapteyn Starworks. Now, if you'll excuse me...""

You watch as drops of sweat betray their thin veneer of calm while their crew panic wildly in the background. A moment later, your intel officer confirms receipt of what surprisingly little they know before they cut the comm-link.

The Luminary was traded off to another pirate fleet to undergo some ""creative sciencing"". Time to get it back.","cutCommLinkNoText:Continue",
naderin_ftl_pirateBargainCondolences,DialogOptionSelected,"$option == naderin_ftl_pirateBargainCondolences","SetTextHighlights ""Kapteyn Starworks""
$global.naderin_ftl_located = true
Call $global.naderin_ftl_ref updateStage","Unfortunately for them, you are merely the messenger of bad news.

""Ah. Thank you. For the, ah, warning. Cap'n. Now, if you'll excuse us...""

You watch as drops of sweat betray their thin veneer of calm while their crew panic wildly in the background. Their hand somehow misses the comms cut-off button as you see a few silhouettes gather for an impromptu screaming match.

Thankfully, your intel officer is much better at sifting through the noise than you are. It's but a few moments and you get all you need to know: The Luminary was traded off to another pirate fleet to undergo some ""creative sciencing"" down at Kapteyn Starworks. Time to get it back.","cutCommLink:Continue","could alternatively just make the fleet leave and require the player to look at the cache"
naderin_ftl_pirateOptThreatenHostile,PopulateOptions,"$entity.naderin_ftl_pirates score:3000
$entity.isHostile
$negotiated == true",,,"naderin_ftl_pirateThreatenHostile:""Oh, I think you do know. And you'll be telling me now, or else.""",
naderin_ftl_pirateThreatenHostile,DialogOptionSelected,"$option == naderin_ftl_pirateThreatenHostile",,"$HeOrShe breathes in slowly, closes $hisOrHer eyes, and gives out one deep sigh.

""No.""

Then they cut off the comm-link.","cutCommLinkNoText:Continue",
naderin_ftl_pirateCommsNeutral,OpenCommLink,"$entity.naderin_ftl_pirates score:3000
!$entity.alreadyMetPlayer
!$entity.isHostile","$entity.alreadyMetPlayer = true
$hailing = false 0
FireAll PopulateOptions","The captain on the other side of the comms-link squints at you. ""You ain't for us, are you?""",,
naderin_ftl_pirateCommsNeutralAgain,OpenCommLink,"$entity.naderin_ftl_pirates score:3000
$entity.alreadyMetPlayer
!$entity.isHostile","FireAll PopulateOptions","The captain on the other side of the comms-link looks at you languidly.

""Need som'thin?""",,
naderin_ftl_pirateOptAskNeutral,PopulateOptions,"$entity.naderin_ftl_pirates score:3000
!$entity.isHostile
!$entity.asked",,,"naderin_ftl_pirateAskNeutral:Ask them if they know about The Luminary",
naderin_ftl_pirateAskNeutral,DialogOptionSelected,"$option == naderin_ftl_pirateAskNeutral","$entity.asked = true
SetTextHighlights ""Kapteyn Starworks""
$global.naderin_ftl_located = true
Call $global.naderin_ftl_ref updateStage","""What?"" $HeOrShe sits up and leans forward in their seat. ""You wanted it too? Aw, cap'n, if I knew everyone wanted it that much... hah. It's out of my hands now.""

They shrug. ""I traded it to some other folk for some supplies. They'll be heading on over to Kapteyn Starworks, I think? Maybe you can catch up, cut a deal with 'em before they do their 'sciencey thing'. Whatever that is.""","cutCommLink:Thank them and cut the comm link",
"#END The Complication",,,,,,
,,,,,,
# The Starworks,,,,,,
,,,,,,
# Raid For The Luminary,,,,,,
naderin_ftl_acquireLuminary,naderin_ftl_acquireLuminary,,"#AddShip $naderin_ftl_luminary
Call $global.naderin_ftl_ref addLuminary
$global.naderin_ftl_acquired = true
$global.naderin_ftl_raidedForLuminary = true
Call $global.naderin_ftl_ref updateData",,,
,,,,,,
# Normal Raid,,,,,,
naderin_ftl_raidOption,PopulateOptions,"$market.naderin_ftl_starworks score:1000
$global.naderin_ftl_located == true
!$isPerson
!$global.naderin_ftl_learnToCopyPasses","FireBest naderin_ftl_disableLuminaryRaidIfNeeded
Call $global.naderin_ftl_ref updateData",,"3:naderin_ftl_raidStart:Prepare a raid to acquire The Luminary","continueTrigger: raidFinished2 is given as a dialogue option after raidFinished1 fires"
naderin_ftl_raidBack,naderin_ftl_raidBack,,"ShowDefaultVisual
FireAll PopulateOptions",,,"Go back opt is automatically provided"
naderin_ftl_disableLuminaryRaidIfNeeded,naderin_ftl_disableLuminaryRaidIfNeeded,"HostileFleetNearbyAndAware","SetEnabled naderin_ftl_raidStart false
SetTooltip naderin_ftl_raidStart ""A nearby hostile fleet is tracking your movements, making a viable ground operation impossible.""",,,
naderin_ftl_raidStart,DialogOptionSelected,"$option == naderin_ftl_raidStart","Call $global.naderin_ftl_ref clearCustomRaidObjectives
$raidDifficulty = $naderin_ftl_raidDifficulty 0
$raidGoBackTrigger = naderin_ftl_raidBack 0
$raidContinueTrigger = naderin_ftl_raidFinished2 0
AddRaidObjective genericIcon ""Perform ship hijacking operation"" MEDIUM 3000 naderin_ftl_raidFinished1
ShowImageVisual raid_prepare","You convene your senior officers to discuss the option of seizing The Luminary outright. Initial queries from your crew to the local authorities are rebuffed, but simple visual observation from orbit easily identifies The Luminary sitting in one of the docking bays. From there, it's not hard to figure out that the pirates are intentionally showing off their prize... and conducting what your crew believe to be certain ""special modifications"".

Ship hijacking operations have been done before, and initial plans are drafted based on past occurrences. Projections estimate the operation will require only a fair amount of marines ending with acceptable casualties. Assuming, of course, that extraction is complete before local security elements can properly activate in response.","mktRaidNonMarket:Continue","note that if we placed the raid scripts in raidOption, it would also be available in the standard raid menu"
naderin_ftl_raidFinished1,naderin_ftl_raidFinished1,,,"The plan your officers decided on involved, of course, the art of surprise.

Marine squads arrive slowly onto the port concourse disguised as rowdy crew looking to unload and unwind. All manage to snake their way towards the docking bays where The Luminary is held, but are stopped short of entering the particular section where your prize is stored. Tactical teams discreetly take their time preparing charges, taking positions, and coordinating with targeting feeds onboard your $shipOrFleet.

Chaos breaks out instantly the moment your tac lead gives the go-ahead, and what counts for security is quickly overwhelmed in a burst of flashes as your marines breach the compound. A crack squad of marines rush into the Apogee and are met with additional gunfire, comms crackling as your marines find themselves fighting for control both inside the ship and out in the docking bay as the first of local security begin to pour in earlier than expected.",,
naderin_ftl_raidFinished2,naderin_ftl_raidFinished2,,"FireBest naderin_ftl_acquireLuminary","Bridge crew aboard your flagship execute EW solutions as marines simultaneously toss out smoke charges in an attempt to buy time. Marines onboard The Luminary are forced into clearing the ship room-by-room, but all it takes is a squad to reach the bridge and initiate take-off procedures for the rest of the raid team to begin withdrawing by way of the ship itself.

With station-side security unable to do more than leave a few scorch marks on the Apogee as it links up with your $shipOrFleet, the outcome is obvious. 

Complete success.","naderin_ftl_raidFinished3:Continue",
naderin_ftl_raidFinished3,DialogOptionSelected,"$option == naderin_ftl_raidFinished3",,"""We're damned lucky they kept the ship doors open,"" the tac lead reports to you in the later debriefing. ""But the job's done, eh?""

There's a moment as you watch the acrid plasma markings dotting their power armour undersuit visibly smoke on the comms-feed. Better for you that they're currently on The Luminary rather than with you on the flagship, maybe. Certainly for your nose at least.

It's seconds later when your sensors officer shouts in alarm: it seems several station batteries have come online and are swivelling towards the general direction of your fleet.","naderin_ftl_raidFinishedEnd:""Nav, time to go.""",
naderin_ftl_raidFinishedEnd,DialogOptionSelected,"$option == naderin_ftl_raidFinishedEnd","DismissDialog",,,
"#END Normal Raid",,,,,,
,,,,,,
# Easy Raid,,,,,,
naderin_ftl_easyRaidOption,PopulateOptions,"$market.naderin_ftl_starworks score:1000
$global.naderin_ftl_located == true
!$isPerson
$global.naderin_ftl_learnToCopyPasses == true
!$global.naderin_ftl_increasedSecurity","FireBest naderin_ftl_disableEasyLuminaryRaidIfNeeded
Call $global.naderin_ftl_ref updateData",,"3:naderin_ftl_easyRaidStart:Prepare a raid to acquire The Luminary",
